Actor_ID,Actor_Name,# times in DS
1884030,Holly Shelton-Foy,1
1884028,John Gallagher,1
1884018,John Eames,1
1883981,Kay Dingle,1
1883866,Lulu Wilson,1
1883861,Jennifer Nichole Lee,1
1883096,Jason McDonald,1
1883093,Evelyn Hurley,1
1883091,Christina Frankenfield,1
1883083,Cara D. Briggs,1
1882943,Olek Mincer,1
1882942,Andrea Refuto,1
1882320,Katrina Phillips,1
1881534,Jason Steffan,1
1881495,Beth Maitland,1
1880602,John Weissman,1
1880600,Dorothy Dorian James,1
1880599,Robert Pastner,1
1880598,Mallory Jones,1
1880597,James Arcuri,1
1880368,Nicole Vigil,1
1880367,Melanie Bishop,1
1880366,Tony Cain,1
1880365,J. Dinan Myrtetus,1
1880364,Eric Graves,1
1880363,Gerald Younggren,1
1880362,Keith Butterfield,1
1880361,Christopher Peters,1
1880212,Freddie Velez,1
1880211,Martin Jaffe,1
1880210,Wayne Muhammed,1
1880209,Lord Kayson,1
1880208,Ronta Davis,1
1880207,Gerald King,1
1880206,Michael Shepherd,1
1880205,Mark Howard,1
1880204,Michael Marchetta,1
1880203,Marc Webster,1
1880202,Ronda Fowler,1
1880201,L.B. Williams,1
1880200,Patrick Ferraro,1
1880199,Larry Mullane,1
1880198,Harvey Williams,1
1880195,Carlo Vogel,1
1880193,Anthony Nocerino,1
1880191,rece Sample,1
1880189,qus Sample,1
1880188,Calvin Hart,1
1880187,Isaac Flower,1
1880186,David Evanson,1
1880185,Donald Stephenson,1
1880184,Craig McNulty,1
1880151,Stephanie Langston,1
1880150,D.J. Hapa,1
1880149,Jorge Ferragut,1
1880148,J.J. Phillips,1
1880147,Viktor Hernandez,1
1880146,Charlie Kimsey,1
1880145,Miller Kimsey,1
1879915,Rebecca Teresia,1
1879913,David James Sikkink,1
1879911,Scott M. Schewe,1
1879910,Sandy Ritz,1
1879909,Ty Quiamboa,1
1879899,Andre Pelzer,1
1879895,Shawn McBride,1
1879845,Cat Limket,1
1879844,Jiaoying Liang,1
1879843,Cody Easterbrook,1
1879842,Shaun Dunnigan,1
1879838,Wolf Lee Counsel,1
1879835,Sasha Chuidian,1
1879832,Svitlana Campbell,1
1879830,Raj K. Bose,1
1879826,Miguel A. Baez Jr.,1
1879823,Jenny Babas,1
1879821,Erik-Alexander Sanchez,1
1879818,Linda Molina,1
1879816,Jason Quinn,1
1879815,Sergio Sanchez,1
1879813,Modesto Cordero,1
1879811,Andre Derizans,1
1879810,Damion Scandrick,1
1879805,Moani Hara,1
1879749,Tricia Munford,2
1879746,Johanna McKay,1
1879457,Rebecca Rosenberg,1
1879456,Roger Roe,1
1879455,Axel L. Schiller,1
1879454,Geri Wolcott,1
1879452,Derek Keele,1
1879451,Loren Guerra,1
1879450,Adam White,1
1879449,Les Martin,1
1879448,Lisa Caraveo,1
1879447,Carmen Nogales,1
1879445,Grayson Victor Schirmacher,1
1879444,David Laurence,1
1879443,Vince Brock,1
1879442,Chris Kilgore,1
1879440,Tyler Shea Cone,1
1879439,John Harrison,1
1878498,Sarah De Teliga,1
1878431,Giorgio Libassi,1
1877716,Marley Otto,1
1877700,Ralph Elias,1
1877699,Steve Artiaga,1
1877698,Mark Mooring,1
1877488,Natalia Lobo,1
1877405,Paddy Jenkins,1
1877403,Helen Madden,1
1877156,Ronald Moss,1
1877153,William R. Perry,1
1876293,Chinna,1
1875778,Ian Nelson,1
1874664,Masumi Tsuda,1
1874660,Minori Omi,2
1873447,Leonard Szepietowski,1
1873278,Guillermo Rodriguez,1
1873078,Dell,2
1873059,Marianna Dean,1
1872835,Michele Dunn,1
1871521,Mark Taormino,1
1871520,Kim Stockdale,1
1871517,Kent Winfrey,1
1871514,Ryan Austine,1
1871511,Michael Renna,1
1871509,Richard A. Pack,1
1870638,Brandon Lambdin,1
1870637,Hannah Gunn,1
1870636,Michael Corey Foster,1
1870631,James Scales,1
1870629,Gertrude Kyles,1
1870627,Adam Kalesperis,1
